indiv me4_blood_ptrs me4_cere_ptrs me4_cortex_ptrs me4_nacc_ptrs
OM2430-RN-5676-Gordon-MEGA-Plate-14-B12_OM2430 -0.360243361426967 -0.152695680127338 -0.253599338794348 0.0237823667734965
OM2432-RN-5676-Gordon-MEGA-Plate-14-G10_OM2432 0.0204618281172684 0.171878182254056 0.118013604091859 0.213898285998222
OM2433-RN-5676-Gordon-MEGA-Plate-02-C07_OM2433 -0.417745929078003 -0.549756325389352 -0.421434090422789 -0.246295544825814
OM2438-RN-5676-Gordon-MEGA-Plate-16-C12_OM2438 -0.029126287135358 -0.238693291055872 -0.158836373704909 -0.181567128416336
OM2439-RN-5676-Gordon-MEGA-Plate-18-B08_OM2439 -0.140608596045155 0.142231111102555 0.0214266568498565 0.0454799139342002
OM2440-RN-5676-Gordon-MEGA-Plate-16-F07_OM2440 -0.0186333125131535 0.262852550163578 0.0939106268746733 0.108418706166771
OM2441-RN-5676-Gordon-MEGA-Plate-02-A07_OM2441 -0.647657505590233 -0.502524232524722 -0.579986846724993 -0.4686382206253
OM2442-RN-5676-Gordon-MEGA-Plate-14-H06_OM2442 -0.423290809942596 -0.888277222072517 -0.635473239366926 -0.491800021095609
OM2443-RN-5676-Gordon-MEGA-Plate-10-B10_OM2443 -0.0867045372812549 -0.521852284923823 -0.25796082973069 -0.1866846138664
OM2445-RN-5676-Gordon-MEGA-Plate-11-A08_OM2445 -0.0925066219010569 0.17998183298908 -0.120189431648362 -6.65128937971278e-05
OM2448-RN-5676-Gordon-MEGA-Plate-10-A03_OM2448 -0.0710923081832751 0.22153252962802 -0.129512281276791 -0.0105362056750018
OM2449-RN-5676-Gordon-MEGA-Plate-17-C04_OM2449 -0.0701183097488999 -0.0349847830269415 -0.161844974018265 -0.00161219672241045
OM2450-RN-5676-Gordon-MEGA-Plate-15-A11_OM2450 -0.16635006140207 -0.155576678572725 -0.272671075715498 -0.123688183353672
OM2451-RN-5676-Gordon-MEGA-Plate-06-F06_OM2451 -0.0822041220342244 -0.618753765462412 -0.375458410409227 -0.418781762756176
OM2452-RN-5676-Gordon-MEGA-Plate-18-G01_OM2452 -0.255585326337403 0.0760504250768521 -0.105379717899104 -0.0519237563999665
OM2454-RN-5676-Gordon-MEGA-Plate-02-H02_OM2454 -0.229922458833512 -0.0833571596326729 -0.134949245799078 -0.0657904289103494
OM2456-RN-5676-Gordon-MEGA-Plate-13-H04_OM2456 0.0571570927010663 0.0227347415865819 -0.120927498433686 0.0677907874094398
OM2462-RN-5676-Gordon-MEGA-Plate-07-D12_OM2462 -0.1204198647931 -0.0790992458147022 -0.0131483784577864 0.0638835783839201
OM2463-RN-5676-Gordon-MEGA-Plate-15-D08_OM2463 -0.129089324891135 0.0949933734096228 -0.0790252396940721 0.0659392187871724
OM2464-RN-5676-Gordon-MEGA-Plate-10-A06_OM2464 -0.257729476460106 0.234144670858817 0.0475104832519574 0.214198172677362
OM2466-RN-5676-Gordon-MEGA-Plate-14-G01_OM2466 0.194222987400059 0.271596012779532 0.0419972911327592 0.144744417848015
OM2467-RN-5676-Gordon-MEGA-Plate-06-F05_OM2467 -0.114509527388985 0.232418817555755 0.0947446132162066 0.113401832821222
OM2470-RN-5676-Gordon-MEGA-Plate-02-C06_OM2470 -0.238278668031637 -0.251048250932566 -0.249327487410894 -0.140490650843714
OM2472-RN-5676-Gordon-MEGA-Plate-07-A04_OM2472 -0.243531860279302 -0.628198782887904 -0.452625684313402 -0.510740274919228
OM2473-RN-5676-Gordon-MEGA-Plate-09-B01_OM2473 -0.227570653145131 -0.225649076331099 -0.158480803459751 -0.0111978191270821
OM2478-RN-5676-Gordon-MEGA-Plate-03-G10_OM2478 -0.181749231707494 -0.33482415857992 -0.24393746462112 -0.154510874825171
OM2482-RN-5676-Gordon-MEGA-Plate-17-B08_OM2482 -0.326709067459911 -0.231916713818572 -0.162710734888585 -0.0710935955419466
OM2483-RN-5676-Gordon-MEGA-Plate-18-A07_OM2483 -0.234886987647778 -0.0048933425093475 -0.185333316483221 -0.0651332616271251
OM2484-RN-5676-Gordon-MEGA-Plate-03-G05_OM2484 -0.09100044506318 0.161986601999045 -0.0155832528641044 0.149628101128453
OM2486-RN-5676-Gordon-MEGA-Plate-05-A01_OM2486 -0.160908888714995 -0.0280860850577076 -0.0436817877470441 0.0826397184001058
OM2488-RN-5676-Gordon-MEGA-Plate-03-C04_OM2488 -0.0808833294179342 0.12493905490342 -0.0520178451441837 0.0624776365182553
OM2491-RN-5676-Gordon-MEGA-Plate-17-B06_OM2491 -0.159759491383398 -0.234719511539662 -0.210305131691444 0.0521378734329897
OM2493-RN-5676-Gordon-MEGA-Plate-14-A05_OM2493 -0.29305731957313 -0.733039369309732 -0.607131213089941 -0.565549797574182
OM2496-RN-5676-Gordon-MEGA-Plate-07-C06_OM2496 -0.247876713105495 0.159193700159946 -0.0179018649055496 0.0829668489833225
OM2501-RN-5676-Gordon-MEGA-Plate-06-D12_OM2501 -0.142247984566927 0.0447697880408653 -0.0692549574168737 -0.0222306457536329
OM2502-RN-5676-Gordon-MEGA-Plate-09-F07_OM2502 -0.0683038096708587 0.117742777958223 -0.162267881686294 0.183022433183877
OM2507-RN-5676-Gordon-MEGA-Plate-09-B04_OM2507 0.0138688749824926 0.0637670154023714 0.0660308126526413 0.151210616377313
OM2511-RN-5676-Gordon-MEGA-Plate-19-H03_OM2511 0.0279574189696923 -0.161427882213812 -0.0156423780289076 0.0923211801362523
OM2512-RN-5676-Gordon-MEGA-Plate-15-G08_OM2512 0.151510728254665 0.276622213077401 0.25656907370405 0.23938246808086
OM2514-RN-5676-Gordon-MEGA-Plate-18-A08_OM2514 0.152748317449372 0.226864273175016 0.137252857919966 0.188266629407579
OM2518-RN-5676-Gordon-MEGA-Plate-16-E11_OM2518 0.12101197205763 -0.198056605987003 -0.151369740116293 -0.0436826543128958
OM2521-RN-5676-Gordon-MEGA-Plate-16-B12_OM2521 0.130211718090242 0.372957812604309 0.12477139731244 0.243099101629665
