indiv	pval_5e-08	pval_1e-05	pval_0.01	pval_0.05	pval_0.1	pval_0.2	pval_0.3	pval_0.4	pval_0.5
OM4446-Redo-RN-5676-Gordon-MEGA-Plate-21-D05_OM4446	0.17372059035056	0.162915167483231	0.691005092531419	0.0273522315887551	-1.75262169348241	-1.72743230867741	-1.92800754202063	-1.63722885882135	-0.869558028715336
OM4452-RN-5676-Gordon-MEGA-Plate-17-G01_OM4452	0.0772615764511881	-0.260473471972037	0.523553607918499	0.0737203198790116	-1.09360381353771	-0.986566775499835	-1.21204619007879	-0.899084190869944	0.192891911689716
OM4455-RN-5676-Gordon-MEGA-Plate-09-G02_OM4455	-0.129965183750593	-0.692961582150533	-0.254604089517434	0.855679943933428	0.746742047828194	1.12294913808931	0.990293452496971	0.854671365820908	1.26320729650934
OM4463-RN-5676-Gordon-MEGA-Plate-09-F11_OM4463	0.182216675006071	0.315447989776763	0.814982517228059	0.822412408220961	0.400329036431907	-0.202289336016361	-0.869685999549653	-0.914447513827958	-0.171566756456554
OM4464-RN-5676-Gordon-MEGA-Plate-17-E12_OM4464	-0.242761121081625	-0.724987749184245	-1.01515628017656	-0.348570661969878	-1.38850229237101	-1.5479504705281	-1.57193627539278	-1.42965407582663	-1.56661382082181
OM4465-RN-5676-Gordon-MEGA-Plate-08-G08_OM4465	-0.379004307473649	-0.616746365249864	-0.45278413986962	-0.336918178961569	-0.25925710353397	-0.47053070357063	-0.548793099923292	-0.722834909147629	0.0806769814712389
OM4470-RN-5676-Gordon-MEGA-Plate-10-E09_OM4470	0.194553401489436	-0.286648833616071	-0.699320525653196	0.146356218045511	-0.169630571296258	-0.113468728648988	-0.779580399704446	-0.720954525635111	-0.647448092877075
OM4473-RN-5676-Gordon-MEGA-Plate-01-B08_OM4473	-0.0696615873722149	-0.269023044058965	-0.544258784926119	-1.66859979072501	-2.45205629293036	-2.36296123066328	-2.77293212910914	-2.73902599259544	-2.35571459793538
OM4474-RN-5676-Gordon-MEGA-Plate-19-E06_OM4474	-0.00824802856636408	-0.595130633320674	0.198074780214553	1.07985212775776	0.323592196493316	0.591655149731217	0.581903247650704	0.597411011176774	1.15728084954584
OM4475-RN-5676-Gordon-MEGA-Plate-09-D12_OM4475	0.0857338249275046	0.0753335252712638	0.444403825393168	0.645026872505102	0.466006511475273	0.15563513535499	-0.313744061164524	0.664438833636024	1.28968877186449
OM4477-RN-5676-Gordon-MEGA-Plate-05-C10_OM4477	-0.286710219847591	-0.476960877843737	0.347065314718392	-0.522164927889938	-0.93409339793648	-1.6770634058784	-1.93447742406367	-2.14520892431581	-1.08734007524478
OM4478-RN-5676-Gordon-MEGA-Plate-06-D03_OM4478	0.0021242998969708	-0.386899724314084	-1.19963522001963	-0.945089221713242	-1.21453052230801	-1.6994220500424	-1.76213861122889	-1.57909834248714	-1.73203528683588
OM4479-RN-5676-Gordon-MEGA-Plate-02-E08_OM4479	-0.115934635208267	-0.203920214213117	-0.482506588540124	0.658019777724593	0.260603506598562	0.335225807733956	-0.161288400265942	1.07073981699043	1.93265261461275
OM4482-RN-5676-Gordon-MEGA-Plate-17-G08_OM4482	-0.326834671756291	-0.899723333738246	-1.1629938405577	-1.00016648931189	-1.50503294587874	-1.92464366716748	-2.92060174204028	-2.51599291120304	-0.790082846873848
OM4486-RN-5676-Gordon-MEGA-Plate-21-G03_OM4486	0.00795223097243547	-0.0780032143192892	0.921023912482318	0.559452606114498	-0.431091387779241	-0.835184260553284	-0.960512455476033	-0.719045956849117	0.566327884498063
